date,equity,cumulative_return
2025-01-02,100000.0,0.0
2025-01-03,100000.0,0.0
2025-01-06,100000.0,0.0
2025-01-07,100000.0,0.0
2025-01-08,97519.571602,-0.02480428398
2025-01-10,97519.571602,-0.02480428398
2025-01-13,95121.800561,-0.04878199439
2025-01-14,95121.800561,-0.04878199439
2025-01-15,94611.710214,-0.0538828978599998
2025-01-16,96166.273684,-0.0383372631599999
2025-01-17,95239.784378,-0.04760215622
2025-01-21,97759.002643,-0.0224099735699999
2025-01-22,97759.002643,-0.0224099735699999
2025-01-23,99924.284378,-0.00075715622
2025-01-24,99976.332296,-0.00023667704
2025-01-27,89982.731255,-0.1001726874499999
2025-01-28,89982.731255,-0.1001726874499999
2025-01-29,93650.523684,-0.06349476316
2025-01-30,93650.523684,-0.06349476316
2025-01-31,93650.523684,-0.06349476316
2025-02-03,93650.523684,-0.06349476316
2025-02-04,93650.523684,-0.06349476316
2025-02-05,93650.523684,-0.06349476316
2025-02-06,93650.523684,-0.06349476316
2025-02-07,93650.523684,-0.06349476316
2025-02-10,94178.645196,-0.05821354804
2025-02-11,94178.645196,-0.05821354804
2025-02-12,94095.484764,-0.05904515236
2025-02-13,93916.204332,-0.06083795668
2025-02-14,94364.403684,-0.0563559631599999
2025-02-18,94808.283792,-0.0519171620799999
2025-02-19,94808.283792,-0.0519171620799999
2025-02-20,94762.214334,-0.0523778566599999
2025-02-21,95000.695689,-0.0499930431099999
2025-02-24,92336.765147,-0.07663234853
2025-02-25,92336.765147,-0.07663234853
2025-02-26,91347.614605,-0.08652385395
2025-02-27,92607.765147,-0.07392234853
2025-02-28,89591.53596,-0.1040846404000001
